Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Nizhny Novgorod Oblast,2020,Sparkling wine,375.93,1.18,0.13
Orenburg Oblast,2020,Sparkling wine,155.91,0.82,0.09
Penza Oblast,2020,Sparkling wine,88.65,0.68,0.08
Samara Oblast,2020,Sparkling wine,349.42,1.09,0.12
Saratov Oblast,2020,Sparkling wine,185.40,0.75,0.08
Ulyanovsk Oblast,2020,Sparkling wine,104.72,0.86,0.09
Kurgan Oblast,2020,Sparkling wine,66.35,0.83,0.09
Sverdlovsk Oblast,2020,Sparkling wine,546.77,1.27,0.14
Khanty–Mansi Autonomous Okrug – Yugra,2020,Sparkling wine,246.60,1.46,0.16
Yamalo-Nenets Autonomous Okrug,2020,Sparkling wine,88.07,1.73,0.19
Chelyabinsk Oblast,2020,Sparkling wine,386.10,1.11,0.12
Tyumen Oblast,2020,Sparkling wine,180.82,1.15,0.13
Altai Republic,2020,Sparkling wine,7.75,0.37,0.04
Tuva,2020,Sparkling wine,7.22,0.22,0.02
Khakassia,2020,Sparkling wine,43.71,0.81,0.09
Altai Krai,2020,Sparkling wine,128.16,0.58,0.06
Krasnoyarsk Krai,2020,Sparkling wine,338.88,1.18,0.13
Irkutsk Oblast,2020,Sparkling wine,239.98,1.00,0.11
Kemerovo Oblast,2020,Sparkling wine,214.02,0.81,0.09
Novosibirsk Oblast,2020,Sparkling wine,275.84,0.98,0.11
Omsk Oblast,2020,Sparkling wine,186.42,0.98,0.11
Tomsk Oblast,2020,Sparkling wine,111.46,1.04,0.11
Buryatia,2020,Sparkling wine,33.73,0.34,0.04
Sakha (Yakutia),2020,Sparkling wine,100.60,1.03,0.11
Zabaykalsky Krai,2020,Sparkling wine,43.29,0.42,0.05
Kamchatka Krai,2020,Sparkling wine,70.47,2.38,0.26
Primorsky Krai,2020,Sparkling wine,309.18,1.65,0.18
Khabarovsk Krai,2020,Sparkling wine,261.07,1.99,0.22
Amur Oblast,2020,Sparkling wine,81.31,1.04,0.11
Magadan Oblast,2020,Sparkling wine,33.96,2.45,0.27
Sakhalin Oblast,2020,Sparkling wine,122.19,2.58,0.28
Jewish Autonomous Oblast,2020,Sparkling wine,14.07,0.91,0.10
Chukotka Autonomous Okrug,2020,Sparkling wine,7.53,1.55,0.17
Belgorod Oblast,2021,Sparkling wine,143.97,0.93,0.10
Bryansk Oblast,2021,Sparkling wine,113.43,0.96,0.11
Vladimir Oblast,2021,Sparkling wine,155.19,1.14,0.13
Voronezh Oblast,2021,Sparkling wine,277.94,1.20,0.13
Ivanovo Oblast,2021,Sparkling wine,96.04,1.02,0.11
Kaluga Oblast,2021,Sparkling wine,152.59,1.45,0.16
Kostroma Oblast,2021,Sparkling wine,59.54,1.01,0.11
Kursk Oblast,2021,Sparkling wine,120.65,1.11,0.12
Lipetsk Oblast,2021,Sparkling wine,115.04,1.00,0.11
Moscow Oblast,2021,Sparkling wine,2019.60,2.39,0.26
Oryol Oblast,2021,Sparkling wine,90.31,1.25,0.14
Ryazan Oblast,2021,Sparkling wine,134.63,1.21,0.13
Smolensk Oblast,2021,Sparkling wine,127.62,1.42,0.16
Tambov Oblast,2021,Sparkling wine,70.08,0.71,0.08
Tver Oblast,2021,Sparkling wine,177.65,1.43,0.16
Tula Oblast,2021,Sparkling wine,157.05,1.04,0.11
Yaroslavl Oblast,2021,Sparkling wine,181.31,1.48,0.16
Moscow,2021,Sparkling wine,2736.56,2.11,0.23
Republic of Karelia,2021,Sparkling wine,83.28,1.54,0.17
Komi Republic,2021,Sparkling wine,119.30,1.59,0.17
Nenets Autonomous Okrug,2021,Sparkling wine,7.65,1.84,0.20
Vologda Oblast,2021,Sparkling wine,122.63,1.07,0.12
Kaliningrad Oblast,2021,Sparkling wine,168.41,1.65,0.18
Leningrad Oblast,2021,Sparkling wine,356.78,1.80,0.20
Murmansk Oblast,2021,Sparkling wine,136.53,2.01,0.22
Novgorod Oblast,2021,Sparkling wine,71.44,1.21,0.13
Pskov Oblast,2021,Sparkling wine,88.54,1.46,0.16
Saint Petersburg,2021,Sparkling wine,1288.04,2.30,0.25
Arkhangelsk Oblast,2021,Sparkling wine,164.87,1.66,0.18
Adygea,2021,Sparkling wine,43.82,0.89,0.10
Kalmykia,2021,Sparkling wine,6.60,0.25,0.03
Republic of Crimea,2021,Sparkling wine,412.94,2.14,0.24
Krasnodar Krai,2021,Sparkling wine,1099.41,1.89,0.21
Astrakhan Oblast,2021,Sparkling wine,63.63,0.66,0.07
Volgograd Oblast,2021,Sparkling wine,260.98,1.04,0.11
Rostov Oblast,2021,Sparkling wine,484.47,1.15,0.13
Sevastopol,2021,Sparkling wine,170.68,3.21,0.35
Dagestan,2021,Sparkling wine,32.33,0.10,0.01
Ingushetia,2021,Sparkling wine,0.26,0.01,0.00
Kabardino-Balkaria,2021,Sparkling wine,14.83,0.16,0.02
Karachay-Cherkessia,2021,Sparkling wine,10.70,0.23,0.03
North Ossetia-Alania,2021,Sparkling wine,27.85,0.40,0.04
Chechnya,2021,Sparkling wine,0.56,0.00,0.00
Stavropol Krai,2021,Sparkling wine,245.35,0.84,0.09
Bashkortostan,2021,Sparkling wine,310.70,0.76,0.08
Mari El,2021,Sparkling wine,43.63,0.64,0.07
Mordovia,2021,Sparkling wine,50.28,0.64,0.07
Tatarstan,2021,Sparkling wine,284.24,0.71,0.08
Udmurtia,2021,Sparkling wine,119.85,0.82,0.09
Chuvashia,2021,Sparkling wine,68.70,0.57,0.06
Perm Krai,2021,Sparkling wine,237.90,0.93,0.10
Kirov Oblast,2021,Sparkling wine,132.21,1.13,0.12
Nizhny Novgorod Oblast,2021,Sparkling wine,418.20,1.33,0.15
Orenburg Oblast,2021,Sparkling wine,165.87,0.88,0.10
Penza Oblast,2021,Sparkling wine,95.36,0.75,0.08
Samara Oblast,2021,Sparkling wine,370.47,1.16,0.13
Saratov Oblast,2021,Sparkling wine,193.46,0.79,0.09
Ulyanovsk Oblast,2021,Sparkling wine,112.83,0.93,0.10
Kurgan Oblast,2021,Sparkling wine,67.25,0.85,0.09
Sverdlovsk Oblast,2021,Sparkling wine,583.23,1.36,0.15
Khanty–Mansi Autonomous Okrug – Yugra,2021,Sparkling wine,237.71,1.40,0.15
Yamalo-Nenets Autonomous Okrug,2021,Sparkling wine,86.03,1.69,0.19
Chelyabinsk Oblast,2021,Sparkling wine,406.88,1.18,0.13
Tyumen Oblast,2021,Sparkling wine,188.61,1.19,0.13
Altai Republic,2021,Sparkling wine,9.61,0.46,0.05
Tuva,2021,Sparkling wine,8.85,0.27,0.03
Khakassia,2021,Sparkling wine,46.66,0.87,0.10
Altai Krai,2021,Sparkling wine,138.56,0.63,0.07
Krasnoyarsk Krai,2021,Sparkling wine,367.47,1.28,0.14
Irkutsk Oblast,2021,Sparkling wine,254.88,1.07,0.12
Kemerovo Oblast,2021,Sparkling wine,223.37,0.85,0.09
Novosibirsk Oblast,2021,Sparkling wine,308.38,1.10,0.12
Omsk Oblast,2021,Sparkling wine,195.19,1.04,0.11
Tomsk Oblast,2021,Sparkling wine,117.03,1.10,0.12
Buryatia,2021,Sparkling wine,33.79,0.34,0.04
Sakha (Yakutia),2021,Sparkling wine,99.98,1.01,0.11
Zabaykalsky Krai,2021,Sparkling wine,44.83,0.44,0.05
Kamchatka Krai,2021,Sparkling wine,66.66,2.27,0.25
Primorsky Krai,2021,Sparkling wine,328.40,1.77,0.19
Khabarovsk Krai,2021,Sparkling wine,260.47,2.01,0.22
Amur Oblast,2021,Sparkling wine,85.00,1.10,0.12
Magadan Oblast,2021,Sparkling wine,29.52,2.15,0.24
Sakhalin Oblast,2021,Sparkling wine,119.90,2.56,0.28
Jewish Autonomous Oblast,2021,Sparkling wine,13.96,0.92,0.10
Chukotka Autonomous Okrug,2021,Sparkling wine,6.93,1.46,0.16
Belgorod Oblast,2022,Sparkling wine,156.18,1.02,0.11
Bryansk Oblast,2022,Sparkling wine,119.71,1.03,0.11
Vladimir Oblast,2022,Sparkling wine,168.50,1.26,0.14
Voronezh Oblast,2022,Sparkling wine,297.90,1.29,0.14
Ivanovo Oblast,2022,Sparkling wine,104.79,1.13,0.12
Kaluga Oblast,2022,Sparkling wine,163.73,1.53,0.17
Kostroma Oblast,2022,Sparkling wine,65.79,1.14,0.13
Kursk Oblast,2022,Sparkling wine,126.54,1.17,0.13
Lipetsk Oblast,2022,Sparkling wine,122.77,1.08,0.12
Moscow Oblast,2022,Sparkling wine,2212.11,2.59,0.28
Oryol Oblast,2022,Sparkling wine,95.32,1.34,0.15
Ryazan Oblast,2022,Sparkling wine,145.74,1.33,0.15
Smolensk Oblast,2022,Sparkling wine,135.37,1.53,0.17
Tambov Oblast,2022,Sparkling wine,76.14,0.78,0.09
Tver Oblast,2022,Sparkling wine,193.50,1.58,0.17
Tula Oblast,2022,Sparkling wine,172.03,1.15,0.13
Yaroslavl Oblast,2022,Sparkling wine,200.31,1.66,0.18
Moscow,2022,Sparkling wine,3000.31,2.31,0.25
Republic of Karelia,2022,Sparkling wine,93.36,1.75,0.19
Komi Republic,2022,Sparkling wine,130.81,1.78,0.20
Nenets Autonomous Okrug,2022,Sparkling wine,7.88,1.90,0.21
Vologda Oblast,2022,Sparkling wine,137.68,1.21,0.13
Kaliningrad Oblast,2022,Sparkling wine,190.71,1.85,0.20
Leningrad Oblast,2022,Sparkling wine,403.29,2.01,0.22
Murmansk Oblast,2022,Sparkling wine,149.92,2.25,0.25
Novgorod Oblast,2022,Sparkling wine,78.78,1.35,0.15
Pskov Oblast,2022,Sparkling wine,97.18,1.63,0.18
Saint Petersburg,2022,Sparkling wine,1422.67,2.54,0.28
Arkhangelsk Oblast,2022,Sparkling wine,177.66,1.82,0.20
Adygea,2022,Sparkling wine,47.76,0.96,0.11
Kalmykia,2022,Sparkling wine,7.23,0.27,0.03
Republic of Crimea,2022,Sparkling wine,407.12,2.11,0.23
Krasnodar Krai,2022,Sparkling wine,1200.43,2.06,0.23
Astrakhan Oblast,2022,Sparkling wine,67.66,0.71,0.08
Volgograd Oblast,2022,Sparkling wine,280.87,1.13,0.12
Rostov Oblast,2022,Sparkling wine,546.93,1.30,0.14
Sevastopol,2022,Sparkling wine,162.98,2.98,0.33
Dagestan,2022,Sparkling wine,41.70,0.13,0.01
Ingushetia,2022,Sparkling wine,0.34,0.01,0.00
Kabardino-Balkaria,2022,Sparkling wine,15.12,0.17,0.02
Karachay-Cherkessia,2022,Sparkling wine,11.93,0.25,0.03
North Ossetia-Alania,2022,Sparkling wine,28.31,0.41,0.05
Chechnya,2022,Sparkling wine,0.68,0.00,0.00
Stavropol Krai,2022,Sparkling wine,261.20,0.90,0.10
Bashkortostan,2022,Sparkling wine,323.80,0.79,0.09
Mari El,2022,Sparkling wine,47.70,0.71,0.08
Mordovia,2022,Sparkling wine,54.06,0.69,0.08
Tatarstan,2022,Sparkling wine,317.42,0.79,0.09
Udmurtia,2022,Sparkling wine,130.48,0.90,0.10
Chuvashia,2022,Sparkling wine,76.24,0.64,0.07
Perm Krai,2022,Sparkling wine,262.53,1.04,0.11
Kirov Oblast,2022,Sparkling wine,142.56,1.24,0.14
Nizhny Novgorod Oblast,2022,Sparkling wine,456.80,1.47,0.16
Orenburg Oblast,2022,Sparkling wine,173.16,0.93,0.10
Penza Oblast,2022,Sparkling wine,105.00,0.83,0.09
Samara Oblast,2022,Sparkling wine,394.18,1.25,0.14
Saratov Oblast,2022,Sparkling wine,208.87,0.86,0.09
Ulyanovsk Oblast,2022,Sparkling wine,119.28,1.00,0.11
Kurgan Oblast,2022,Sparkling wine,68.61,0.89,0.10
Sverdlovsk Oblast,2022,Sparkling wine,630.05,1.48,0.16
Khanty–Mansi Autonomous Okrug – Yugra,2022,Sparkling wine,237.17,1.38,0.15
Yamalo-Nenets Autonomous Okrug,2022,Sparkling wine,87.34,1.71,0.19
Chelyabinsk Oblast,2022,Sparkling wine,426.86,1.25,0.14
Tyumen Oblast,2022,Sparkling wine,203.78,1.27,0.14
Altai Republic,2022,Sparkling wine,12.77,0.61,0.07
Tuva,2022,Sparkling wine,9.31,0.28,0.03
Khakassia,2022,Sparkling wine,51.19,0.96,0.11
Altai Krai,2022,Sparkling wine,153.37,0.71,0.08
Krasnoyarsk Krai,2022,Sparkling wine,397.58,1.39,0.15
Irkutsk Oblast,2022,Sparkling wine,278.81,1.18,0.13
Kemerovo Oblast,2022,Sparkling wine,240.10,0.93,0.10
Novosibirsk Oblast,2022,Sparkling wine,341.26,1.22,0.13
Omsk Oblast,2022,Sparkling wine,205.31,1.11,0.12
Tomsk Oblast,2022,Sparkling wine,124.58,1.17,0.13
Buryatia,2022,Sparkling wine,38.07,0.39,0.04
Sakha (Yakutia),2022,Sparkling wine,98.85,0.99,0.11
Zabaykalsky Krai,2022,Sparkling wine,48.37,0.48,0.05
Kamchatka Krai,2022,Sparkling wine,68.65,2.35,0.26
Primorsky Krai,2022,Sparkling wine,351.96,1.91,0.21
Khabarovsk Krai,2022,Sparkling wine,264.96,2.05,0.23
Amur Oblast,2022,Sparkling wine,94.47,1.24,0.14
Magadan Oblast,2022,Sparkling wine,29.71,2.19,0.24
Sakhalin Oblast,2022,Sparkling wine,118.79,2.55,0.28
Jewish Autonomous Oblast,2022,Sparkling wine,14.30,0.96,0.11
Chukotka Autonomous Okrug,2022,Sparkling wine,7.08,1.48,0.16
Belgorod Oblast,2023,Sparkling wine,172.86,1.14,0.13
Bryansk Oblast,2023,Sparkling wine,128.64,1.12,0.12
Vladimir Oblast,2023,Sparkling wine,180.55,1.36,0.15
Voronezh Oblast,2023,Sparkling wine,329.38,1.44,0.16
Ivanovo Oblast,2023,Sparkling wine,111.35,1.22,0.13
Kaluga Oblast,2023,Sparkling wine,172.74,1.61,0.18
Kostroma Oblast,2023,Sparkling wine,69.28,1.21,0.13
Kursk Oblast,2023,Sparkling wine,132.17,1.24,0.14
Lipetsk Oblast,2023,Sparkling wine,134.31,1.19,0.13
Moscow Oblast,2023,Sparkling wine,2383.90,2.77,0.31
Oryol Oblast,2023,Sparkling wine,100.40,1.43,0.16
Ryazan Oblast,2023,Sparkling wine,156.32,1.44,0.16
Smolensk Oblast,2023,Sparkling wine,144.52,1.66,0.18
Tambov Oblast,2023,Sparkling wine,82.02,0.85,0.09
Tver Oblast,2023,Sparkling wine,203.04,1.68,0.18
Tula Oblast,2023,Sparkling wine,187.69,1.27,0.14
Yaroslavl Oblast,2023,Sparkling wine,215.07,1.80,0.20
Moscow,2023,Sparkling wine,3270.67,2.50,0.27
Republic of Karelia,2023,Sparkling wine,99.90,1.89,0.21
Komi Republic,2023,Sparkling wine,131.57,1.81,0.20
Nenets Autonomous Okrug,2023,Sparkling wine,8.11,1.96,0.22
Vologda Oblast,2023,Sparkling wine,145.41,1.29,0.14
Kaliningrad Oblast,2023,Sparkling wine,222.68,2.16,0.24
Leningrad Oblast,2023,Sparkling wine,444.29,2.20,0.24
Murmansk Oblast,2023,Sparkling wine,162.54,2.47,0.27
Novgorod Oblast,2023,Sparkling wine,81.88,1.42,0.16
Pskov Oblast,2023,Sparkling wine,103.39,1.76,0.19
Saint Petersburg,2023,Sparkling wine,1576.39,2.81,0.31
Arkhangelsk Oblast,2023,Sparkling wine,182.77,1.90,0.21
Adygea,2023,Sparkling wine,54.54,1.10,0.12
Kalmykia,2023,Sparkling wine,8.06,0.30,0.03
Republic of Crimea,2023,Sparkling wine,431.04,2.25,0.25
Krasnodar Krai,2023,Sparkling wine,1441.60,2.48,0.27
Astrakhan Oblast,2023,Sparkling wine,71.95,0.76,0.08
Volgograd Oblast,2023,Sparkling wine,296.19,1.20,0.13
Rostov Oblast,2023,Sparkling wine,639.97,1.54,0.17
Sevastopol,2023,Sparkling wine,175.17,3.14,0.35
Dagestan,2023,Sparkling wine,43.56,0.14,0.01
Ingushetia,2023,Sparkling wine,0.37,0.01,0.00
Kabardino-Balkaria,2023,Sparkling wine,16.70,0.18,0.02
Karachay-Cherkessia,2023,Sparkling wine,12.61,0.27,0.03
North Ossetia-Alania,2023,Sparkling wine,29.87,0.44,0.05
Chechnya,2023,Sparkling wine,0.72,0.00,0.00
Stavropol Krai,2023,Sparkling wine,296.27,1.02,0.11
Bashkortostan,2023,Sparkling wine,344.92,0.85,0.09
Mari El,2023,Sparkling wine,51.85,0.77,0.08
Mordovia,2023,Sparkling wine,58.90,0.76,0.08
Tatarstan,2023,Sparkling wine,354.92,0.89,0.10
Udmurtia,2023,Sparkling wine,142.12,0.99,0.11
Chuvashia,2023,Sparkling wine,84.42,0.72,0.08
Perm Krai,2023,Sparkling wine,290.18,1.16,0.13
Kirov Oblast,2023,Sparkling wine,151.41,1.33,0.15
Nizhny Novgorod Oblast,2023,Sparkling wine,504.78,1.64,0.18
Orenburg Oblast,2023,Sparkling wine,186.31,1.01,0.11
Penza Oblast,2023,Sparkling wine,114.35,0.92,0.10
Samara Oblast,2023,Sparkling wine,430.64,1.37,0.15
Saratov Oblast,2023,Sparkling wine,227.65,0.95,0.10
Ulyanovsk Oblast,2023,Sparkling wine,126.50,1.07,0.12
Kurgan Oblast,2023,Sparkling wine,69.54,0.91,0.10
Sverdlovsk Oblast,2023,Sparkling wine,686.04,1.62,0.18
Khanty–Mansi Autonomous Okrug – Yugra,2023,Sparkling wine,247.02,1.43,0.16
Yamalo-Nenets Autonomous Okrug,2023,Sparkling wine,91.38,1.78,0.20
Chelyabinsk Oblast,2023,Sparkling wine,458.16,1.34,0.15
Tyumen Oblast,2023,Sparkling wine,225.28,1.40,0.15
Altai Republic,2023,Sparkling wine,16.15,0.77,0.08
Tuva,2023,Sparkling wine,9.09,0.27,0.03
Khakassia,2023,Sparkling wine,56.19,1.06,0.12
Altai Krai,2023,Sparkling wine,171.52,0.80,0.09
Krasnoyarsk Krai,2023,Sparkling wine,425.03,1.49,0.16
Irkutsk Oblast,2023,Sparkling wine,292.78,1.25,0.14
Kemerovo Oblast,2023,Sparkling wine,259.78,1.01,0.11
Novosibirsk Oblast,2023,Sparkling wine,374.84,1.34,0.15
Omsk Oblast,2023,Sparkling wine,214.44,1.17,0.13
Tomsk Oblast,2023,Sparkling wine,131.29,1.25,0.14
Buryatia,2023,Sparkling wine,42.16,0.43,0.05
Sakha (Yakutia),2023,Sparkling wine,101.59,1.02,0.11
Zabaykalsky Krai,2023,Sparkling wine,52.70,0.53,0.06
Kamchatka Krai,2023,Sparkling wine,74.50,2.58,0.28
Primorsky Krai,2023,Sparkling wine,378.15,2.08,0.23
Khabarovsk Krai,2023,Sparkling wine,280.09,2.18,0.24
Amur Oblast,2023,Sparkling wine,98.38,1.30,0.14
Magadan Oblast,2023,Sparkling wine,31.48,2.34,0.26
Sakhalin Oblast,2023,Sparkling wine,123.05,2.67,0.29
Jewish Autonomous Oblast,2023,Sparkling wine,14.82,1.00,0.11
Chukotka Autonomous Okrug,2023,Sparkling wine,6.95,1.45,0.16
Belgorod Oblast,2017,Brandy,47.66,0.31,0.12
Bryansk Oblast,2017,Brandy,55.96,0.46,0.18
Vladimir Oblast,2017,Brandy,109.35,0.78,0.31
Voronezh Oblast,2017,Brandy,140.81,0.60,0.24
Ivanovo Oblast,2017,Brandy,59.43,0.60,0.24
Kaluga Oblast,2017,Brandy,90.02,0.86,0.34
Kostroma Oblast,2017,Brandy,37.55,0.60,0.24
Kursk Oblast,2017,Brandy,55.76,0.50,0.20
Lipetsk Oblast,2017,Brandy,59.69,0.51,0.20
Moscow Oblast,2017,Brandy,1108.95,1.39,0.56
Oryol Oblast,2017,Brandy,43.85,0.58,0.23
Ryazan Oblast,2017,Brandy,69.35,0.61,0.24
Smolensk Oblast,2017,Brandy,83.35,0.89,0.35
Tambov Oblast,2017,Brandy,41.24,0.40,0.16
Tver Oblast,2017,Brandy,105.96,0.82,0.33
Tula Oblast,2017,Brandy,98.73,0.64,0.26
Yaroslavl Oblast,2017,Brandy,129.81,1.03,0.41
Moscow,2017,Brandy,1312.56,1.05,0.42
Republic of Karelia,2017,Brandy,80.66,1.38,0.55
Komi Republic,2017,Brandy,87.86,1.08,0.43
Nenets Autonomous Okrug,2017,Brandy,4.37,1.03,0.41
Vologda Oblast,2017,Brandy,86.26,0.73,0.29
Kaliningrad Oblast,2017,Brandy,75.75,0.77,0.31
Leningrad Oblast,2017,Brandy,268.04,1.46,0.58
Murmansk Oblast,2017,Brandy,137.33,1.90,0.76
Novgorod Oblast,2017,Brandy,61.23,1.00,0.40
Pskov Oblast,2017,Brandy,52.18,0.82,0.33
Saint Petersburg,2017,Brandy,742.90,1.37,0.55
Arkhangelsk Oblast,2017,Brandy,103.88,0.97,0.39
Adygea,2017,Brandy,26.22,0.56,0.22
Kalmykia,2017,Brandy,10.37,0.37,0.15
Republic of Crimea,2017,Brandy,169.64,0.88,0.35
Krasnodar Krai,2017,Brandy,420.88,0.74,0.30
Astrakhan Oblast,2017,Brandy,54.98,0.55,0.22
Volgograd Oblast,2017,Brandy,134.65,0.53,0.21
Rostov Oblast,2017,Brandy,230.81,0.54,0.22
Sevastopol,2017,Brandy,53.21,1.16,0.46
Dagestan,2017,Brandy,59.70,0.20,0.08
Ingushetia,2017,Brandy,0.70,0.01,0.01
Kabardino-Balkaria,2017,Brandy,12.11,0.14,0.05
Karachay-Cherkessia,2017,Brandy,8.42,0.18,0.07
North Ossetia-Alania,2017,Brandy,7.02,0.10,0.04
Chechnya,2017,Brandy,0.97,0.01,0.00
Stavropol Krai,2017,Brandy,125.03,0.44,0.17
Bashkortostan,2017,Brandy,170.67,0.41,0.17
Mari El,2017,Brandy,39.40,0.57,0.23
Mordovia,2017,Brandy,27.34,0.34,0.13
Tatarstan,2017,Brandy,232.73,0.59,0.24
Udmurtia,2017,Brandy,87.81,0.59,0.23
Chuvashia,2017,Brandy,56.58,0.46,0.18
Perm Krai,2017,Brandy,196.94,0.75,0.30
Kirov Oblast,2017,Brandy,74.46,0.60,0.24
Nizhny Novgorod Oblast,2017,Brandy,234.91,0.73,0.29
Orenburg Oblast,2017,Brandy,68.83,0.35,0.14
Penza Oblast,2017,Brandy,48.77,0.37,0.15
Samara Oblast,2017,Brandy,192.94,0.60,0.24
Saratov Oblast,2017,Brandy,105.84,0.42,0.17
Ulyanovsk Oblast,2017,Brandy,59.13,0.47,0.19
Kurgan Oblast,2017,Brandy,30.77,0.37,0.15
Sverdlovsk Oblast,2017,Brandy,341.41,0.79,0.32
Khanty–Mansi Autonomous Okrug – Yugra,2017,Brandy,176.87,1.07,0.43
Yamalo-Nenets Autonomous Okrug,2017,Brandy,71.00,1.39,0.55
Chelyabinsk Oblast,2017,Brandy,193.37,0.55,0.22
Tyumen Oblast,2017,Brandy,86.27,0.57,0.23
Altai Republic,2017,Brandy,5.36,0.25,0.10
Tuva,2017,Brandy,5.52,0.17,0.07
Khakassia,2017,Brandy,17.28,0.32,0.13
Altai Krai,2017,Brandy,65.23,0.28,0.11
Krasnoyarsk Krai,2017,Brandy,178.12,0.62,0.25
Irkutsk Oblast,2017,Brandy,103.93,0.43,0.17
Kemerovo Oblast,2017,Brandy,134.09,0.50,0.20
Novosibirsk Oblast,2017,Brandy,148.11,0.53,0.21
Omsk Oblast,2017,Brandy,78.73,0.40,0.16
Tomsk Oblast,2017,Brandy,69.20,0.64,0.26
Buryatia,2017,Brandy,23.49,0.24,0.10
Sakha (Yakutia),2017,Brandy,51.62,0.53,0.21
Zabaykalsky Krai,2017,Brandy,24.21,0.23,0.09
Kamchatka Krai,2017,Brandy,44.35,1.46,0.58
Primorsky Krai,2017,Brandy,167.23,0.88,0.35
Khabarovsk Krai,2017,Brandy,124.10,0.93,0.37
Amur Oblast,2017,Brandy,40.24,0.50,0.20
Magadan Oblast,2017,Brandy,23.16,1.60,0.64
Sakhalin Oblast,2017,Brandy,61.96,1.30,0.52
Jewish Autonomous Oblast,2017,Brandy,7.46,0.46,0.18
Chukotka Autonomous Okrug,2017,Brandy,6.66,1.37,0.55
Belgorod Oblast,2018,Brandy,50.95,0.33,0.13
Bryansk Oblast,2018,Brandy,62.30,0.52,0.21
Vladimir Oblast,2018,Brandy,120.12,0.86,0.35
Voronezh Oblast,2018,Brandy,156.67,0.67,0.27
Ivanovo Oblast,2018,Brandy,67.09,0.68,0.27
Kaluga Oblast,2018,Brandy,98.22,0.93,0.37
Kostroma Oblast,2018,Brandy,44.54,0.72,0.29
Kursk Oblast,2018,Brandy,63.04,0.57,0.23
Lipetsk Oblast,2018,Brandy,64.54,0.55,0.22
Moscow Oblast,2018,Brandy,1220.43,1.51,0.60
Oryol Oblast,2018,Brandy,48.56,0.65,0.26
Ryazan Oblast,2018,Brandy,75.07,0.66,0.27
Smolensk Oblast,2018,Brandy,90.48,0.97,0.39
Tambov Oblast,2018,Brandy,45.64,0.44,0.18
Tver Oblast,2018,Brandy,116.78,0.91,0.36
Tula Oblast,2018,Brandy,108.03,0.70,0.28
Yaroslavl Oblast,2018,Brandy,139.66,1.12,0.45
Moscow,2018,Brandy,1385.09,1.09,0.44
Republic of Karelia,2018,Brandy,82.20,1.44,0.57
Komi Republic,2018,Brandy,92.03,1.16,0.46
Nenets Autonomous Okrug,2018,Brandy,4.49,1.07,0.43
Vologda Oblast,2018,Brandy,97.08,0.83,0.33
Kaliningrad Oblast,2018,Brandy,86.41,0.87,0.35
Leningrad Oblast,2018,Brandy,289.36,1.55,0.62
Murmansk Oblast,2018,Brandy,138.44,1.94,0.77
Novgorod Oblast,2018,Brandy,64.93,1.08,0.43
Pskov Oblast,2018,Brandy,55.06,0.88,0.35
Saint Petersburg,2018,Brandy,782.44,1.42,0.57
Arkhangelsk Oblast,2018,Brandy,112.46,1.07,0.43
Adygea,2018,Brandy,25.81,0.55,0.22
Kalmykia,2018,Brandy,11.10,0.40,0.16
Republic of Crimea,2018,Brandy,189.35,0.98,0.39
Krasnodar Krai,2018,Brandy,449.89,0.79,0.32
Astrakhan Oblast,2018,Brandy,58.79,0.59,0.24
Volgograd Oblast,2018,Brandy,142.33,0.56,0.22
Rostov Oblast,2018,Brandy,245.85,0.58,0.23
Sevastopol,2018,Brandy,58.83,1.23,0.49
Dagestan,2018,Brandy,61.66,0.20,0.08
Ingushetia,2018,Brandy,1.14,0.02,0.01
Kabardino-Balkaria,2018,Brandy,13.10,0.15,0.06
Karachay-Cherkessia,2018,Brandy,8.68,0.18,0.07
North Ossetia-Alania,2018,Brandy,7.82,0.11,0.04
Chechnya,2018,Brandy,0.73,0.01,0.00
Stavropol Krai,2018,Brandy,130.51,0.45,0.18
Bashkortostan,2018,Brandy,205.40,0.50,0.20
Mari El,2018,Brandy,43.88,0.64,0.26
Mordovia,2018,Brandy,31.36,0.39,0.15
Tatarstan,2018,Brandy,286.80,0.72,0.29
Udmurtia,2018,Brandy,98.17,0.66,0.26
Chuvashia,2018,Brandy,60.25,0.49,0.20
Perm Krai,2018,Brandy,206.53,0.79,0.32
Kirov Oblast,2018,Brandy,83.88,0.68,0.27
Nizhny Novgorod Oblast,2018,Brandy,255.27,0.79,0.32
Orenburg Oblast,2018,Brandy,76.86,0.40,0.16
Penza Oblast,2018,Brandy,56.19,0.42,0.17
Samara Oblast,2018,Brandy,221.01,0.69,0.28
Saratov Oblast,2018,Brandy,118.84,0.47,0.19
Ulyanovsk Oblast,2018,Brandy,62.82,0.51,0.20
Kurgan Oblast,2018,Brandy,36.18,0.44,0.18
Sverdlovsk Oblast,2018,Brandy,373.31,0.86,0.35
Khanty–Mansi Autonomous Okrug – Yugra,2018,Brandy,192.26,1.16,0.46
Yamalo-Nenets Autonomous Okrug,2018,Brandy,76.55,1.50,0.60
Chelyabinsk Oblast,2018,Brandy,216.23,0.62,0.25
