Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Penza Oblast,2019,Wine,284.33,2.17,0.24
Samara Oblast,2019,Wine,1074.63,3.35,0.37
Saratov Oblast,2019,Wine,552.84,2.22,0.24
Ulyanovsk Oblast,2019,Wine,327.44,2.66,0.29
Kurgan Oblast,2019,Wine,209.81,2.59,0.28
Sverdlovsk Oblast,2019,Wine,2038.75,4.72,0.52
Khanty–Mansi Autonomous Okrug – Yugra,2019,Wine,549.29,3.28,0.36
Yamalo-Nenets Autonomous Okrug,2019,Wine,183.43,3.59,0.40
Chelyabinsk Oblast,2019,Wine,1239.82,3.56,0.39
Tyumen Oblast,2019,Wine,531.25,3.42,0.38
Altai Republic,2019,Wine,48.13,2.28,0.25
Tuva,2019,Wine,23.84,0.73,0.08
Khakassia,2019,Wine,121.98,2.26,0.25
Altai Krai,2019,Wine,523.36,2.33,0.26
Krasnoyarsk Krai,2019,Wine,913.36,3.17,0.35
Irkutsk Oblast,2019,Wine,809.73,3.37,0.37
Kemerovo Oblast,2019,Wine,663.58,2.49,0.27
Novosibirsk Oblast,2019,Wine,994.24,3.54,0.39
Omsk Oblast,2019,Wine,524.90,2.73,0.30
Tomsk Oblast,2019,Wine,342.18,3.19,0.35
Buryatia,2019,Wine,187.16,1.91,0.21
Sakha (Yakutia),2019,Wine,229.70,2.36,0.26
Zabaykalsky Krai,2019,Wine,259.39,2.51,0.28
Kamchatka Krai,2019,Wine,139.44,4.65,0.51
Primorsky Krai,2019,Wine,778.74,4.13,0.45
Khabarovsk Krai,2019,Wine,470.47,3.57,0.39
Amur Oblast,2019,Wine,276.99,3.52,0.39
Magadan Oblast,2019,Wine,61.16,4.37,0.48
Sakhalin Oblast,2019,Wine,231.06,4.85,0.53
Jewish Autonomous Oblast,2019,Wine,40.16,2.56,0.28
Chukotka Autonomous Okrug,2019,Wine,13.84,2.88,0.32
Belgorod Oblast,2020,Wine,320.22,2.06,0.23
Bryansk Oblast,2020,Wine,342.63,2.88,0.32
Vladimir Oblast,2020,Wine,573.76,4.18,0.46
Voronezh Oblast,2020,Wine,674.98,2.89,0.32
Ivanovo Oblast,2020,Wine,359.50,3.77,0.41
Kaluga Oblast,2020,Wine,472.24,4.49,0.49
Kostroma Oblast,2020,Wine,237.89,3.98,0.44
Kursk Oblast,2020,Wine,268.26,2.44,0.27
Lipetsk Oblast,2020,Wine,324.73,2.80,0.31
Moscow Oblast,2020,Wine,5712.85,6.82,0.75
Oryol Oblast,2020,Wine,206.49,2.83,0.31
Ryazan Oblast,2020,Wine,382.25,3.41,0.38
